Context,Epsilon,Delta,Aproximation_type,Distribution_type,Threads,Total_execution_time,Total_time,Total_exec_time_2,Total_closure_time,Updown_time,Total_closure_computations,Total_up_down_computes,Basis_size,Total_counter_examples,Sum_total_tries,Equal_to_count,Empty_set_closure_computes,Support_avg,Support_p10,Support_p50,Support_p90,Support_p95
StandardDS/chess.txt,0.1,0.1,weak,area-based,8,0.041061,0.007697,0.007467,0.000000,0.001142,48,1274,48,48,29,-5,1118,30.813256,73.372966,24.687109,1.470588,0.469337
StandardDS/census.txt,0.1,0.1,weak,uniform,8,0.226425,0.032404,0.012244,0.000000,0.002328,41,1007,41,41,29,-4,817,5.039695,16.430531,1.707547,0.047091,0.030711
StandardDS/census.txt,0.1,0.1,weak,frequent,8,22.230973,1.009579,21.019218,0.000000,21.823298,41,167788,520,645,12497,986,86192,0.706643,1.455714,0.024569,0.002047,0.002047
StandardDS/census.txt,0.1,0.1,weak,area-based,8,814.259388,5.982377,808.052309,0.000000,811.609268,41,5329139,2855,4103,92835,7644,2445348,0.173742,0.169936,0.016379,0.002047,0.002047
StandardDS/mushroom.txt,0.1,0.1,weak,uniform,8,0.091808,0.014702,0.027905,0.000000,0.026830,118,748,7,40,515,43,1,21.375818,100.000000,0.295421,0.000000,0.000000
StandardDS/mushroom.txt,0.1,0.1,weak,frequent,8,0.715529,0.056174,0.609180,0.000000,0.626519,118,8748,62,193,3506,785,1,27.850971,54.948301,23.042836,5.022157,1.181684
StandardDS/mushroom.txt,0.1,0.1,weak,area-based,8,0.809424,0.061555,0.696561,0.000000,0.713596,118,10157,68,212,4082,882,1,26.224404,56.720827,22.648941,2.067947,0.787789
StandardDS/mushroom.txt,0.1,0.1,strong,uniform,8,0.692457,0.015431,0.627668,0.001997,0.612152,433,5510,95,116,317,1379,1,11.694006,29.197440,5.317578,0.295421,0.098474
StandardDS/mushroom.txt,0.1,0.1,strong,frequent,8,53.169820,0.931744,52.177170,0.475907,52.201421,39248,653412,634,2026,39198,44965,1,11.674545,25.012309,7.680945,1.181684,0.590842
StandardDS/mushroom.txt,0.1,0.1,strong,area-based,8,40.996304,0.722191,40.215262,0.333924,40.222167,31291,498577,540,1787,31268,37656,1,12.093591,26.267848,8.370261,1.083210,0.492368
StandardDS/connect.txt,0.1,0.1,weak,uniform,8,0.109204,0.021724,0.023749,0.000000,0.022512,126,867,7,39,633,43,1,28.856273,100.000000,0.318471,0.000000,0.000000
StandardDS/connect.txt,0.1,0.1,weak,frequent,8,0.120363,0.029101,0.027584,0.000000,0.033184,126,1180,10,39,936,72,1,82.352534,99.986153,94.572141,0.900028,0.900028
StandardDS/connect.txt,0.1,0.1,weak,area-based,8,0.130553,0.030635,0.034665,0.000000,0.040776,126,1302,10,42,1048,74,1,93.665190,99.986153,97.535309,72.6945447,2.694544
StandardDS/nom10shuttle.txt,0.1,0.1,weak,uniform,8,0.199280,0.027781,0.010218,0.000000,0.003092,76,3038,76,76,29,3,2833,0.591863,0.501149,0.004598,0.000000,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,weak,frequent,8,2.408553,0.709489,1.505817,0.000000,2.144722,76,21403,149,222,2674,154,15565,5.974666,14.811494,0.942529,0.002299,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,weak,area-based,8,3.219681,0.942749,2.085398,0.000000,2.946584,76,27867,160,263,3855,195,19491,5.824626,13.432184,1.388506,0.002299,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,strong,uniform,8,0.200969,0.029057,0.010644,0.000074,0.003164,105,3037,76,76,29,-4,2827,0.591863,0.501149,0.004598,0.000000,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,strong,frequent,8,3.300375,0.699573,2.402098,0.007792,3.024575,1364,27232,161,270,2315,384,19792,5.755765,13.432184,1.393103,0.002299,0.000000
